what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365292296897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365292458581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365292459903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1365292460919
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1365292461611
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365292462689
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365292462756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365292467768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365293955700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365293957920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365293989787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365293992132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365293999991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294012140
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365294012252
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365294012317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294018878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294024449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294025543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294026667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1365294031910
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365294034689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294037021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365294043001
